District,Neighborhood,Latitude,Longitude
District 1,"Rathaus, Hochschulen, Lindenhof, City",47.3742,8.5396
District 2,"Wollishofen, Leimbach , Enge",47.3441,8.53
District 3,"Alt-Wiedikon, Friesenberg, Sihlfeld",47.3651,8.5026
District 4,"Werd, Langstrasse, Hard",47.3801,8.5207
District 5,"Gewerbeschule, Escher Wyss, Unterstrass, Oberstrass",47.3873,8.519
District 6,"Unterstrass, Oberstrass",47.3939,8.5449
District 7,"Fluntern, Hottingen, Hirslanden, Witikon",47.3776,8.5742
District 8,"Seefeld, Mhlebach, Weinegg",47.3575,8.565
District 9,"Albisrieden, Altstetten",47.386,8.4819
District 10,"Hoengg, Wipkingen",47.4024,8.4993
District 11,"Affoltern, Oerlikon, Seebach",47.4138,8.5455
District 12,"Saatlen, Schwamendingen Mitte, Hirzenbach",47.4042,8.5741
